query_id,query,method,context_relevance,answer_relevance,faithfulness,bert_score_f1
Q50,What is the CISO's role during a major phishing incident?...,hybrid,0.6736,0.7182,0.6667,0.9027
Q51,How should the legal team assess regulatory obligations afte...,hybrid,0.6987,0.7857,0.8571,0.8616
Q52,What role does HR play in phishing incident response?...,hybrid,0.7344,0.7605,0.7,0.8749
Q53,How should vendor relationships be managed during a supply c...,hybrid,0.7348,0.752,0.8571,0.8652
Q54,What should be included in a phishing response playbook?...,hybrid,0.6025,0.6688,0.6667,0.871
Q55,How do we conduct a post-incident review after a phishing at...,hybrid,0.6447,0.7039,1.0,0.8905
Q56,What cognitive biases make humans susceptible to phishing at...,hybrid,0.5137,0.5335,1.0,0.8589
Q57,How do we build a positive phishing reporting culture withou...,hybrid,0.715,0.7583,0.6364,0.8643
Q58,What metrics should we use to measure our phishing awareness...,hybrid,0.7361,0.7848,0.6364,0.875
Q59,How should security awareness training be tailored for diffe...,hybrid,0.6128,0.7281,0.9,0.9012
Q60,What is phishing fatigue and how do we manage simulation fre...,hybrid,0.6992,0.7681,0.6667,0.8801
Q61,How can security champion programs improve phishing resilien...,hybrid,0.6519,0.7546,0.8571,0.8639
Q62,What gamification techniques work best for phishing awarenes...,hybrid,0.702,0.8081,0.6364,0.8801
Q63,What is the human firewall concept and how do we build it ef...,hybrid,0.7056,0.6095,1.0,0.888
Q64,How often should we run phishing simulations and what diffic...,hybrid,0.6293,0.773,0.7,0.8839
Q65,How do we handle employees who repeatedly fall for simulated...,hybrid,0.7051,0.7104,0.5385,0.8554
Q66,How does endpoint detection and response help after a phishi...,hybrid,0.6199,0.6411,0.875,0.8979
Q67,What network segmentation strategies limit the blast radius ...,hybrid,0.6091,0.7339,1.0,0.9142
Q68,How do web content filtering and secure web gateways protect...,hybrid,0.6337,0.6225,0.625,0.9374
Q69,What privileged access management controls reduce the impact...,hybrid,0.6975,0.6412,1.0,0.8725
Q70,How does URL sandboxing and time-of-click analysis protect a...,hybrid,0.7153,0.7333,0.8889,0.8898
Q71,What DLP policies should we configure to detect data exfiltr...,hybrid,0.6938,0.717,0.6667,0.8909
Q72,How should we integrate email security with our SIEM for phi...,hybrid,0.7569,0.8053,0.6667,0.8987
Q73,What role do CASB solutions play in detecting cloud account ...,hybrid,0.7146,0.8027,1.0,0.9098
Q74,How does email encryption and signing help users identify le...,hybrid,0.6569,0.662,0.6667,0.8874
Q75,How can honeypot email accounts serve as early warning for p...,hybrid,0.6617,0.7271,1.0,0.8918
Q76,What does the ACSC Essential Eight require for email securit...,hybrid,0.6878,0.5201,0.8333,0.857
Q77,What GDPR notification requirements apply after a phishing d...,hybrid,0.6079,0.7787,0.7778,0.8827
Q78,How does PCI DSS v4.0 address phishing prevention requiremen...,hybrid,0.6947,0.6913,1.0,0.8754
Q79,What ISO 27001 controls are relevant to phishing prevention?...,hybrid,0.769,0.6363,1.0,0.8748
Q80,What are the CCPA implications of a phishing-related data br...,hybrid,0.5821,0.681,0.7,0.8848
Q81,What Australian Privacy Act requirements apply to phishing b...,hybrid,0.6403,0.7939,1.0,0.8831
Q82,How does the NIST Cybersecurity Framework v2.0 address phish...,hybrid,0.6488,0.701,1.0,0.8622
Q83,What SOX compliance considerations arise from phishing attac...,hybrid,0.7494,0.7222,0.7273,0.876
Q84,What phishing threats are unique to healthcare organisations...,hybrid,0.722,0.5861,1.0,0.856
Q85,How should financial institutions defend against targeted ph...,hybrid,0.635,0.6338,0.7273,0.8624
Q86,What phishing risks do educational institutions face and how...,hybrid,0.597,0.6797,0.6667,0.88
Q87,What additional phishing controls do government agencies nee...,hybrid,0.5059,0.6695,0.8182,0.8678
Q88,What are the minimum phishing controls for small businesses ...,hybrid,0.6338,0.6898,0.8,0.8591
Q89,What phishing threats target the legal sector and how should...,hybrid,0.7109,0.6926,0.6,0.8841
Q90,How do phishing attacks threaten energy sector OT and ICS sy...,hybrid,0.6652,0.5566,0.6,0.8432
Q91,What seasonal phishing patterns affect the retail sector?...,hybrid,0.6687,0.6028,0.5556,0.8746
Q92,How should manufacturers protect against phishing-enabled in...,hybrid,0.4856,0.4948,0.5833,0.8564
Q93,What free security tools can non-profit organisations use fo...,hybrid,0.6765,0.6652,1.0,0.8871
Q94,How does Zero Trust Architecture help defend against phishin...,hybrid,0.5241,0.5438,0.8889,0.8504
Q95,What is the role of DNS filtering in phishing prevention?...,hybrid,0.6954,0.6718,0.625,0.9063
Q96,How does browser isolation protect against credential phishi...,hybrid,0.6754,0.7747,0.6667,0.9022
Q97,How do password managers provide passive phishing protection...,hybrid,0.6496,0.7334,1.0,0.8747
Q98,What role does threat intelligence play in proactive phishin...,hybrid,0.6652,0.6518,1.0,0.9172
Q99,How should we configure SOAR playbooks for automated phishin...,hybrid,0.7532,0.8273,0.75,0.8669
Q100,What browser-based protections complement email security aga...,hybrid,0.6145,0.7453,0.6,0.8879
